Project Name,Language,Testament,Book,Stage,TotalTarget
Paschim Project,Kukna,OT,Haggai,Stage 4 (Consultant Check),38
Paschim Project,Kukna,OT,Haggai,Stage 5 (Formatting Editing & Publishing),38
Paschim Project,Kukna,OT,Zechariah,Stage 1 (Drafting),211
Paschim Project,Kukna,OT,Zechariah,Stage 2 (Community Check),211
Paschim Project,Kukna,OT,Zechariah,Stage 3 (Linguist Check),211
Paschim Project,Kukna,OT,Zechariah,Stage 4 (Theological Check),211
Paschim Project,Kukna,OT,Zechariah,Stage 4 (Consultant Check),211
Paschim Project,Kukna,OT,Zechariah,Stage 5 (Formatting Editing & Publishing),211
Paschim Project,Kukna,OT,Malachi,Stage 1 (Drafting),55
Paschim Project,Kukna,OT,Malachi,Stage 2 (Community Check),55
Paschim Project,Kukna,OT,Malachi,Stage 3 (Linguist Check),55
Paschim Project,Kukna,OT,Malachi,Stage 4 (Theological Check),55
Paschim Project,Kukna,OT,Malachi,Stage 4 (Consultant Check),55
Paschim Project,Kukna,OT,Malachi,Stage 5 (Formatting Editing & Publishing),55
